country,coordinates,landlocked,language,area,island,border_countries,ISO3
United Arab Emirates,24 00 N 54 00 E,No,Arabic,83600.0,No,"['OMN', 'SAU']",ARE
United Kingdom,54 00 N 2 00 W,No,Englishnote:,243610.0,No,IRL,GBR
United States,38 00 N 97 00 W,No,English,9833517.0,No,"['CAN', 'CUB', 'MEX']",USA
Uruguay,33 00 S 56 00 W,No,Spanish,176215.0,No,"['ARG', 'BRA']",URY
Uzbekistan,41 00 N 64 00 E,Yes,Uzbek,447400.0,No,"['AFG', 'KAZ', 'KGZ', 'TJK']",UZB
Vanuatu,16 00 S 167 00 E,No,local,12189.0,Yes,nan,VUT
Venezuela,8 00 N 66 00 W,No,Spanish,912050.0,No,"['BRA', 'COL', 'GUY']",VEN
Vietnam,16 10 N 107 50 E,No,Vietnamese,331210.0,No,"['KHM', 'CHN', 'LAO']",VNM
Yemen,15 00 N 48 00 E,No,Arabic,527968.0,No,"['OMN', 'SAU']",YEM
Zambia,15 00 S 30 00 E,Yes,Bemba,752618.0,No,"['AGO', 'BWA', 'COD', 'MWI', 'MOZ', 'NAM', 'TZA', 'ZWE']",ZMB
Zimbabwe,20 00 S 30 00 E,Yes,Shona,390757.0,No,"['BWA', 'MOZ', 'ZAF', 'ZMB']",ZWE
